eval/mean_reward,step
0.1582430613612761,2000
0.1879357816515757,4000
0.25143323288954456,6000
0.28418131239141453,8000
0.348095266333777,10000
0.34982160921016586,12000
0.3552158255637861,14000
0.3469200791455933,16000
0.42639951829750217,18000
0.4072090484282689,20000
0.344432671396069,22000
0.4623953095227244,24000
0.4249912424594674,26000
0.5139777437537945,28000
0.4440914457204619,30000
0.4519331446088206,32000
0.4407123747932286,34000
0.46739130097286546,36000
0.5060581299459135,38000
0.3584617291853224,40000
0.3952520467126167,42000
0.5659925620723137,44000
0.4461106725509046,46000
0.5081219995840282,48000
0.4214642414177987,50000
0.4667675059796004,52000
0.4542318496854763,54000
0.5401792550545221,56000
0.47645037510886395,58000
0.5156483321304958,60000
0.48738037441298404,62000
0.5506998702265482,64000
0.49453030335140064,66000
0.5617603101297358,68000
0.5349787904201392,70000
0.5369520522714142,72000
0.5690992315558064,74000
